City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Hilo,19.7297,-155.09,75.27,81,0,4.61,US,2023-04-18 13:46:52
67,Houston,29.7633,-95.3633,68.34,85,100,19.57,US,2023-04-18 13:51:47
68,Nikki,9.9401,3.2108,93.76,37,88,1.81,BJ,2023-04-18 13:56:15
69,Tuatapere,-46.1333,167.6833,53.65,91,100,6.35,NZ,2023-04-18 13:47:31
70,Kavieng,-2.5744,150.7967,82.04,73,28,4.81,PG,2023-04-18 13:47:16
71,Yellowknife,62.456,-114.3525,28.92,74,40,13.8,CA,2023-04-18 13:46:40
72,Oussouye,12.485,-16.5469,100.58,27,95,6.4,SN,2023-04-18 13:56:15
73,Codrington,-38.2667,141.9667,56.01,82,100,10.0,AU,2023-04-18 13:47:50
74,Takab,36.4009,47.1133,63.14,30,24,9.04,IR,2023-04-18 13:56:15
75,Yanggu,36.1106,115.7753,65.61,48,97,7.34,CN,2023-04-18 13:56:16
76,Makakilo City,21.3469,-158.0858,73.72,84,20,14.97,US,2023-04-18 13:47:57
77,Port Alfred,-33.5906,26.891,77.18,76,0,1.99,ZA,2023-04-18 13:56:16
78,Hami,42.8,93.45,56.43,25,97,34.11,CN,2023-04-18 13:47:39
79,Asyut,27.181,31.1837,100.58,7,0,10.94,EG,2023-04-18 13:45:43
80,San Ramon,37.7799,-121.978,46.49,91,40,3.44,US,2023-04-18 13:45:59
81,Atuona,-9.8,-139.0333,80.24,79,14,15.95,PF,2023-04-18 13:46:59
82,Kruisfontein,-34.0033,24.7314,71.89,53,0,8.81,ZA,2023-04-18 13:47:27
83,Chokurdakh,70.6333,147.9167,8.87,96,100,8.52,RU,2023-04-18 13:46:52
84,Ponta Do Sol,32.6667,-17.1,73.71,75,88,3.02,PT,2023-04-18 13:47:23
85,Reconquista,-29.15,-59.65,70.07,48,0,6.2,AR,2023-04-18 13:56:17
86,Businga,3.3333,20.8833,84.54,55,100,4.59,CD,2023-04-18 13:56:17
87,Kungurtug,50.5994,97.5228,16.99,78,88,3.89,RU,2023-04-18 13:47:48
88,Saint Anthony,45.0205,-93.218,41.11,62,0,3.44,US,2023-04-18 13:56:18
89,Tiarei,-17.5333,-149.3333,78.82,78,23,17.74,PF,2023-04-18 13:56:18
90,Nemuro,43.3236,145.575,37.36,83,100,2.53,JP,2023-04-18 13:56:18
91,Nelson Bay,-32.7167,152.15,64.0,90,30,1.99,AU,2023-04-18 13:56:19
92,Tambura,5.6,27.4667,91.72,36,55,8.16,SS,2023-04-18 13:56:19
